teamId,oEff,dEff,eFG,FG%,3P%,FT%,3PP,FTA,OR,DR,TO,TOF,POS,season
1102_2004,1.136210384356035,0.9521240728253538,0.6843670348343246,0.4825828377230246,0.38102893890675243,0.7090909090909091,0.42195845697329376,15.714285714285714,6.142857142857143,15.357142857142858,10.785714285714286,16.428571428571427,52.96428571428572,2004
1103_2004,1.0788314896359146,1.0847384813661263,0.582774798927614,0.46648793565683644,0.36268343815513626,0.6453488372093024,0.25833748133399703,24.571428571428573,11.214285714285714,22.357142857142858,14.607142857142858,13.535714285714286,66.50714285714285,2004
1104_2004,1.0988664987405543,1.026448362720403,0.5827586206896552,0.4526645768025078,0.38333333333333336,0.6987381703470031,0.29656160458452724,21.862068965517242,11.310344827586206,24.0,13.275862068965518,13.448275862068966,65.7103448275862,2004
1105_2004,0.9824288903989905,1.0329094262692944,0.515485407980941,0.40798094103633115,0.31746031746031744,0.688953488372093,0.26679841897233203,23.724137931034484,12.517241379310345,23.96551724137931,16.17241379310345,16.06896551724138,71.04137931034482,2004
1106_2004,0.9717389011916062,0.9585574185384373,0.5359097127222983,0.4220246238030096,0.33400402414486924,0.6572700296735905,0.2702116115029843,22.466666666666665,11.7,22.766666666666666,17.2,15.333333333333334,63.21999999999999,2004
1107_2004,0.897961444715267,1.0198315976069134,0.4912926992632284,0.40053583389149366,0.2967032967032967,0.7379134860050891,0.2498457742134485,14.035714285714286,10.214285714285714,22.5,15.75,14.214285714285714,64.47142857142858,2004
1108_2004,0.9331924740919608,1.0554381728544118,0.5319078947368421,0.425,0.351409978308026,0.6773648648648649,0.26199460916442047,20.413793103448278,11.344827586206897,21.82758620689655,19.310344827586206,14.620689655172415,68.5448275862069,2004
1110_2004,1.046104610461046,1.008100810081008,0.5675593426658552,0.4418746195982958,0.3678571428571429,0.67601246105919,0.2954110898661568,20.70967741935484,11.0,23.419354838709676,14.225806451612904,14.387096774193548,64.50967741935484,2004
1111_2004,0.9498241946213057,1.0139694003611137,0.5153118040089086,0.40757238307349664,0.3260135135135135,0.6404494382022472,0.2896448224112056,18.413793103448278,13.344827586206897,21.06896551724138,16.620689655172413,19.310344827586206,72.57241379310345,2004
1112_2004,1.1704482567791925,1.0486995019369123,0.5986737400530504,0.48488063660477454,0.38420107719928187,0.786053882725832,0.25295508274231676,21.75862068965517,13.89655172413793,25.689655172413794,14.96551724137931,15.620689655172415,74.77241379310342,2004
1113_2004,1.0657572205051686,1.1019929660023444,0.5390520694259012,0.43124165554072097,0.3368200836820084,0.7352150537634409,0.2415,27.555555555555557,12.11111111111111,23.48148148148148,15.11111111111111,14.074074074074074,69.50370370370372,2004
1114_2004,1.054800882387089,1.0101010101010097,0.5306345733041575,0.43544857768052514,0.3217821782178218,0.7155297532656023,0.21463951568519538,26.5,12.692307692307692,22.846153846153847,15.615384615384615,16.53846153846154,66.25384615384618,2004
1115_2004,0.7540106951871658,1.0737967914438502,0.43602693602693604,0.3441077441077441,0.2792607802874743,0.6379746835443038,0.28936170212765955,14.62962962962963,10.814814814814815,23.85185185185185,19.22222222222222,13.555555555555555,69.25925925925925,2004
1116_2004,1.0250957039557633,1.0213738834538493,0.5270104358502149,0.4162062615101289,0.31413612565445026,0.6793760831889082,0.2800829875518672,20.607142857142858,13.035714285714286,21.5,13.785714285714286,16.535714285714285,67.17142857142858,2004
1117_2004,1.0692498870311795,1.0274514234071397,0.5655906593406593,0.43956043956043955,0.3560311284046693,0.7337883959044369,0.2900158478605388,22.53846153846154,12.653846153846153,23.846153846153847,15.73076923076923,15.192307692307692,68.09230769230768,2004
1119_2004,0.7849764060706541,1.024741742124729,0.48100706713780916,0.35600706713780916,0.33254716981132076,0.6635514018691588,0.3436230706742486,17.12,6.48,21.36,17.08,14.16,62.72800000000001,2004
1120_2004,1.056375983615393,0.989544033631562,0.5541301627033792,0.4380475594493116,0.3406998158379374,0.6625441696113075,0.28316326530612246,20.214285714285715,14.821428571428571,22.321428571428573,15.928571428571429,16.392857142857142,66.2642857142857,2004
1122_2004,1.0090970350404311,0.9619272237196764,0.5410677618069816,0.43121149897330596,0.32064128256513025,0.6892138939670932,0.2671118530884808,19.535714285714285,10.0,24.178571428571427,13.607142857142858,13.428571428571429,63.60000000000001,2004
